area,fsa,zone
Barrie,L4M,City of Barrie
Barrie,L4N,City of Barrie
Barrie,L9J,City of Barrie
Hamilton,L8E,City of Hamilton
Hamilton,L8G,City of Hamilton
Hamilton,L8H,City of Hamilton
Hamilton,L8J,City of Hamilton
Hamilton,L8K,City of Hamilton
Hamilton,L8L,City of Hamilton
Hamilton,L8M,City of Hamilton
Hamilton,L8N,City of Hamilton
Hamilton,L8P,City of Hamilton
Hamilton,L8R,City of Hamilton
Hamilton,L8S,City of Hamilton
Hamilton,L8T,City of Hamilton
Hamilton,L8V,City of Hamilton
Hamilton,L8W,City of Hamilton
Hamilton,L9A,City of Hamilton
Hamilton,L9B,City of Hamilton
Hamilton,L9C,City of Hamilton
Ancaster,L9G,City of Hamilton
Dundas,L9H,City of Hamilton
Ancaster,L9K,City of Hamilton
Scarborough,M1B,City of Toronto
Scarborough,M1C,City of Toronto
Scarborough,M1E,City of Toronto
Scarborough,M1G,City of Toronto
Scarborough,M1H,City of Toronto
Scarborough,M1J,City of Toronto
Scarborough,M1K,City of Toronto
Scarborough,M1L,City of Toronto
Scarborough,M1M,City of Toronto
Scarborough,M1N,City of Toronto
Scarborough,M1P,City of Toronto
Scarborough,M1R,City of Toronto
Scarborough,M1S,City of Toronto
Scarborough,M1T,City of Toronto
Scarborough,M1V,City of Toronto
Scarborough,M1W,City of Toronto
Scarborough,M1X,City of Toronto
North York,M2H,City of Toronto
North York,M2J,City of Toronto
North York,M2K,City of Toronto
North York,M2L,City of Toronto
North York,M2M,City of Toronto
North York,M2N,City of Toronto
North York,M2P,City of Toronto
North York,M2R,City of Toronto
North York,M3A,City of Toronto
North York,M3B,City of Toronto
North York,M3C,City of Toronto
North York,M3H,City of Toronto
North York,M3J,City of Toronto
North York,M3K,City of Toronto
North York,M3L,City of Toronto
North York,M3M,City of Toronto
North York,M3N,City of Toronto
North York,M4A,City of Toronto
East York,M4B,City of Toronto
East York,M4C,City of Toronto
East Toronto,M4E,City of Toronto
East York,M4G,City of Toronto
East York,M4H,City of Toronto
East York,M4J,City of Toronto
East Toronto,M4K,City of Toronto
East Toronto,M4L,City of Toronto
East Toronto,M4M,City of Toronto
Central Toronto,M4N,City of Toronto
Central Toronto,M4P,City of Toronto
Central Toronto,M4R,City of Toronto
Central Toronto,M4S,City of Toronto
Central Toronto,M4T,City of Toronto
Central Toronto,M4V,City of Toronto
Downtown Toronto,M4W,City of Toronto
Downtown Toronto,M4X,City of Toronto
Downtown Toronto,M4Y,City of Toronto
Downtown Toronto,M5A,City of Toronto
Downtown Toronto,M5B,City of Toronto
Downtown Toronto,M5C,City of Toronto
Downtown Toronto,M5E,City of Toronto
Downtown Toronto,M5G,City of Toronto
Downtown Toronto,M5H,City of Toronto
Downtown Toronto,M5J,City of Toronto
Downtown Toronto,M5K,City of Toronto
Downtown Toronto,M5L,City of Toronto
North York,M5M,City of Toronto
Central Toronto,M5N,City of Toronto
Central Toronto,M5P,City of Toronto
Central Toronto,M5R,City of Toronto
Downtown Toronto,M5S,City of Toronto
Downtown Toronto,M5T,City of Toronto
Downtown Toronto,M5V,City of Toronto
Downtown Toronto,M5W,City of Toronto
Downtown Toronto,M5X,City of Toronto
North York,M6A,City of Toronto
North York,M6B,City of Toronto
York,M6C,City of Toronto
York,M6E,City of Toronto
Downtown Toronto,M6G,City of Toronto
West Toronto,M6H,City of Toronto
West Toronto,M6J,City of Toronto
West Toronto,M6K,City of Toronto
North York,M6L,City of Toronto
York,M6M,City of Toronto
York,M6N,City of Toronto
West Toronto,M6P,City of Toronto
West Toronto,M6R,City of Toronto
West Toronto,M6S,City of Toronto
Queen's Park,M7A,City of Toronto
East Toronto,M7Y,City of Toronto
Etobicoke,M8V,City of Toronto
Etobicoke,M8W,City of Toronto
Etobicoke,M8X,City of Toronto
Etobicoke,M8Y,City of Toronto
Etobicoke,M8Z,City of Toronto
Etobicoke,M9A,City of Toronto
Etobicoke,M9B,City of Toronto
Etobicoke,M9C,City of Toronto
North York,M9L,City of Toronto
North York,M9M,City of Toronto
York,M9N,City of Toronto
Etobicoke,M9P,City of Toronto
Etobicoke,M9R,City of Toronto
Etobicoke,M9V,City of Toronto
Etobicoke,M9W,City of Toronto
Courtice,L1E,Clarington Municipality
Peel/Dufferin Boundary West,L0N,Dufferin County
Bradford,L3Z,Dufferin County
Orangeville,L9V,Dufferin County
Orangeville,L9W,Dufferin County
East Durham Region,L0B,Durham Region
West Durham Region,L0C,Durham Region
York/Durham Boundary South,L0H,Durham Region
Bowmanville,L1B,Durham Region
Bowmanville,L1C,Durham Region
Oshawa,L1G,Durham Region
Oshawa,L1H,Durham Region
Oshawa,L1J,Durham Region
